0.0002	1.79E-07
0.0004	3.15E-07
0.0006	4.29E-07
0.0008	5.29E-07
0.001	6.21E-07
0.0012	7.05E-07
0.0014	7.83E-07
0.0016	8.57E-07
0.0018	9.28E-07
0.002	9.95E-07
0.0022	1.06E-06
0.0024	1.12E-06
0.0026	1.18E-06
0.0028	1.24E-06
0.003	1.30E-06
0.0032	1.35E-06
0.0034	1.40E-06
0.0036	1.46E-06
0.0038	1.51E-06
0.004	1.56E-06
0.0042	1.61E-06
0.0044	1.65E-06
0.0046	1.70E-06
0.0048	1.75E-06
0.005	1.79E-06
0.0052	1.83E-06
0.0054	1.88E-06
0.0056	1.92E-06
0.0058	1.96E-06
0.006	2.00E-06
0.0062	2.04E-06
0.0064	2.08E-06
0.0066	2.12E-06
0.0068	2.16E-06
0.007	2.20E-06
0.0072	2.24E-06
0.0074	2.28E-06
0.0076	2.31E-06
0.0078	2.35E-06
0.008	2.38E-06
0.0082	2.42E-06
0.0084	2.45E-06
0.0086	2.49E-06
0.0088	2.52E-06
0.009	2.56E-06
0.0092	2.59E-06
0.0094	2.62E-06
0.0096	2.65E-06
0.0098	2.69E-06
0.01	2.72E-06
0.0102	2.75E-06
0.0104	2.78E-06
0.0106	2.81E-06
0.0108	2.84E-06
0.011	2.87E-06
0.0112	2.90E-06
0.0114	2.93E-06
0.0116	2.96E-06
0.0118	2.98E-06
0.012	3.01E-06
0.0122	3.04E-06
0.0124	3.07E-06
0.0126	3.09E-06
0.0128	3.12E-06
0.013	3.15E-06
0.0132	3.17E-06
0.0134	3.20E-06
0.0136	3.23E-06
0.0138	3.25E-06
0.014	3.28E-06
0.0142	3.30E-06
0.0144	3.32E-06
0.0146	3.35E-06
0.0148	3.37E-06
0.015	3.40E-06
0.0152	3.42E-06
0.0154	3.44E-06
0.0156	3.47E-06
0.0158	3.49E-06
0.016	3.51E-06
0.0162	3.54E-06
0.0164	3.56E-06
0.0166	3.58E-06
0.0168	3.60E-06
0.017	3.62E-06
0.0172	3.64E-06
0.0174	3.67E-06
0.0176	3.69E-06
0.0178	3.71E-06
0.018	3.73E-06
0.0182	3.75E-06
0.0184	3.77E-06
0.0186	3.79E-06
0.0188	3.81E-06
0.019	3.83E-06
0.0192	3.85E-06
0.0194	3.87E-06
0.0196	3.89E-06
0.0198	3.91E-06
0.02	3.92E-06
0.0202	3.94E-06
0.0204	3.96E-06
0.0206	3.98E-06
0.0208	4.00E-06
0.021	4.02E-06
0.0212	4.04E-06
0.0214	4.05E-06
0.0216	4.07E-06
0.0218	4.09E-06
0.022	4.11E-06
0.0222	4.12E-06
0.0224	4.14E-06
0.0226	4.16E-06
0.0228	4.17E-06
0.023	4.19E-06
0.0232	4.21E-06
0.0234	4.22E-06
0.0236	4.24E-06
0.0238	4.26E-06
0.024	4.27E-06
0.0242	4.29E-06
0.0244	4.30E-06
0.0246	4.32E-06
0.0248	4.34E-06
0.025	4.35E-06
0.0252	4.37E-06
0.0254	4.38E-06
0.0256	4.40E-06
0.0258	4.41E-06
0.026	4.43E-06
0.0262	4.44E-06
0.0264	4.46E-06
0.0266	4.47E-06
0.0268	4.49E-06
0.027	4.50E-06
0.0272	4.52E-06
0.0274	4.53E-06
0.0276	4.54E-06
0.0278	4.56E-06
0.028	4.57E-06
0.0282	4.59E-06
0.0284	4.60E-06
0.0286	4.61E-06
0.0288	4.63E-06
0.029	4.64E-06
0.0292	4.66E-06
0.0294	4.67E-06
0.0296	4.68E-06
0.0298	4.70E-06
0.03	4.71E-06
0.0302	4.72E-06
0.0304	4.73E-06
0.0306	4.75E-06
0.0308	4.76E-06
0.031	4.77E-06
0.0312	4.79E-06
0.0314	4.80E-06
0.0316	4.81E-06
0.0318	4.82E-06
0.032	4.84E-06
0.0322	4.85E-06
0.0324	4.86E-06
0.0326	4.87E-06
0.0328	4.89E-06
0.033	4.90E-06
0.0332	4.91E-06
0.0334	4.92E-06
0.0336	4.93E-06
0.0338	4.95E-06
0.034	4.96E-06
0.0342	4.97E-06
0.0344	4.98E-06
0.0346	4.99E-06
0.0348	5.00E-06
0.035	5.02E-06
0.0352	5.03E-06
0.0354	5.04E-06
0.0356	5.05E-06
0.0358	5.06E-06
0.036	5.07E-06
0.0362	5.08E-06
0.0364	5.10E-06
0.0366	5.11E-06
0.0368	5.12E-06
0.037	5.13E-06
0.0372	5.14E-06
0.0374	5.15E-06
0.0376	5.16E-06
0.0378	5.17E-06
0.038	5.18E-06
0.038199999	5.19E-06
0.038399999	5.20E-06
0.038599999	5.21E-06
0.0388	5.23E-06
0.038999999	5.24E-06
0.039199999	5.25E-06
0.039399999	5.26E-06
0.039599999	5.27E-06
0.039799999	5.28E-06
0.04	5.29E-06
0.040199999	5.30E-06
0.040399999	5.31E-06
0.040599999	5.32E-06
0.040799999	5.33E-06
0.040999999	5.34E-06
0.041199999	5.35E-06
0.041399999	5.36E-06
0.041599999	5.37E-06
0.041799999	5.38E-06
0.041999999	5.39E-06
0.042199999	5.40E-06
0.0424	5.41E-06
0.042599999	5.42E-06
0.042799999	5.43E-06
0.042999999	5.44E-06
0.043199999	5.45E-06
0.043399999	5.46E-06
0.043599999	5.47E-06
0.043799999	5.48E-06
0.043999999	5.49E-06
0.044199999	5.50E-06
0.044399999	5.50E-06
0.044599999	5.51E-06
0.044799999	5.52E-06
0.044999999	5.53E-06
0.045199999	5.54E-06
0.045399999	5.55E-06
0.045599999	5.56E-06
0.045799999	5.57E-06
0.045999999	5.58E-06
0.046199999	5.59E-06
0.046399999	5.60E-06
0.046599999	5.61E-06
0.046799999	5.62E-06
0.046999999	5.62E-06
0.047199999	5.63E-06
0.047399999	5.64E-06
0.047599999	5.65E-06
0.047799999	5.66E-06
0.047999999	5.67E-06
0.048199999	5.68E-06
0.048399999	5.69E-06
0.048599999	5.70E-06
0.048799999	5.70E-06
0.048999999	5.71E-06
0.049199999	5.72E-06
0.049399999	5.73E-06
0.049599999	5.74E-06
0.049799999	5.75E-06
0.049999999	5.76E-06
0.050199999	5.77E-06
0.050399999	5.77E-06
0.050599999	5.78E-06
0.050799999	5.79E-06
0.050999999	5.80E-06
0.051199999	5.81E-06
0.051399999	5.82E-06
0.051599999	5.82E-06
0.051799999	5.83E-06
0.051999999	5.84E-06
0.052199999	5.85E-06
0.052399999	5.86E-06
0.052599999	5.87E-06
0.052799999	5.87E-06
0.052999999	5.88E-06
0.053199999	5.89E-06
0.053399999	5.90E-06
0.053599999	5.91E-06
0.053799999	5.92E-06
0.053999999	5.92E-06
0.054199999	5.93E-06
0.054399999	5.94E-06
0.054599999	5.95E-06
0.054799999	5.96E-06
0.054999999	5.96E-06
0.055199999	5.97E-06
0.055399999	5.98E-06
0.055599999	5.99E-06
0.055799999	6.00E-06
0.055999999	6.00E-06
0.056199999	6.01E-06
0.056399999	6.02E-06
0.056599999	6.03E-06
0.056799999	6.04E-06
0.056999999	6.04E-06
0.057199999	6.05E-06
0.057399999	6.06E-06
0.057599999	6.07E-06
0.057799999	6.07E-06
0.057999999	6.08E-06
0.058199999	6.09E-06
0.058399999	6.10E-06
0.058599999	6.11E-06
0.058799999	6.11E-06
0.058999999	6.12E-06
0.059199999	6.13E-06
0.059399999	6.14E-06
0.059599999	6.14E-06
0.059799999	6.15E-06
0.059999999	6.16E-06
0.060199999	6.17E-06
0.060399999	6.17E-06
0.060599999	6.18E-06
0.060799999	6.19E-06
0.060999999	6.20E-06
0.061199999	6.20E-06
0.061399999	6.21E-06
0.061599999	6.22E-06
0.061799999	6.23E-06
0.061999999	6.23E-06
0.062199999	6.24E-06
0.062399999	6.25E-06
0.062599999	6.25E-06
0.062799999	6.26E-06
0.062999999	6.27E-06
0.063199999	6.28E-06
0.063399999	6.28E-06
0.063599999	6.29E-06
0.063799999	6.30E-06
0.063999999	6.31E-06
0.064199999	6.31E-06
0.064399999	6.32E-06
0.064599999	6.33E-06
0.064799999	6.33E-06
0.064999999	6.34E-06
0.065199999	6.35E-06
0.065399999	6.35E-06
0.065599999	6.36E-06
0.065799999	6.37E-06
0.065999999	6.38E-06
0.066199999	6.38E-06
0.066399999	6.39E-06
0.066599999	6.40E-06
0.066799999	6.40E-06
0.066999999	6.41E-06
0.067199999	6.42E-06
0.067399999	6.42E-06
0.067599999	6.43E-06
0.067799999	6.44E-06
